Semester,China,India,Vietnam,Nigeria,Saudi_Arabia,South_Korea,Iran,Mexico,Venezuela,Canada,Taiwan,Turkey,Peru,Pakistan,Nepal,Ukraine,Bangladesh,Sri_Lanka
Spring 2014,897,791,340,131,100.0,114.0,101.0,102.0,90.0,72.0,,,,,,,,
Summer 2014,469,290,78,46,49.0,56.0,74.0,,,34.0,46.0,30.0,,,,,,
Fall 2014,934,917,320,149,138.0,131.0,124.0,101.0,96.0,81.0,,,,,,,,
Spring 2015,837,917,306,154,141.0,119.0,140.0,94.0,96.0,79.0,,,,,,,,
Summer 2015,187,191,49,49,91.0,21.0,,29.0,24.0,20.0,,,24.0,24.0,,,,
Fall 2015,888,961,325,158,131.0,128.0,154.0,116.0,94.0,81.0,,,,,,,,
Spring 2016,853,875,312,162,131.0,118.0,150.0,109.0,95.0,,,,,73.0,,,,
Summer 2016,377,237,68,47,76.0,42.0,93.0,33.0,33.0,,,,,,30.0,,,
Fall 2016,854,914,322,143,138.0,122.0,138.0,121.0,89.0,,,,,88.0,,,,
Spring 2017,786,809,324,139,128.0,123.0,143.0,99.0,89.0,,,,,84.0,,,,
Summer 2017,147,158,68,41,75.0,20.0,,,36.0,29.0,,,21.0,25.0,,,,
Fall 2017,789,885,360,145,128.0,123.0,130.0,97.0,88.0,,,,,96.0,,,,
Spring 2018,711,774,344,133,121.0,124.0,124.0,84.0,81.0,,,,,87.0,,,,
Summer 2018,207,224,79,40,54.0,37.0,39.0,,28.0,,,,,25.0,,25.0,,
Fall 2018,760,762,385,133,85.0,120.0,125.0,109.0,81.0,,,,,104.0,,,,
Spring 2019,692,634,376,127,81.0,114.0,124.0,100.0,76.0,,,,,90.0,,,,
Summer 2019,187,174,82,36,41.0,32.0,37.0,31.0,,25.0,,,,,,29.0,,
Fall 2019,676,645,435,135,,103.0,126.0,108.0,79.0,,74.0,,,94.0,,,,
Spring 2020,623,590,396,124,,89.0,124.0,102.0,79.0,,66.0,,,87.0,,,,
Summer 2020,393,253,142,55,,48.0,99.0,42.0,,,34.0,,,,44.0,,46.0,
Fall 2020,613,542,436,144,,87.0,110.0,124.0,89.0,,,,,93.0,,,76.0,
Spring 2021,570,578,398,129,,78.0,98.0,118.0,87.0,,,,,99.0,,,78.0,
Summer 2021,188,140,113,36,,30.0,38.0,30.0,30.0,,,,,26.0,,26.0,,
Fall 2021,649,829,402,147,,84.0,99.0,119.0,91.0,,,,,117.0,,,103.0,
Spring 2022,589,989,370,152,,73.0,105.0,118.0,80.0,,,,,118.0,,,100.0,
Summer 2022,590,528,117,62,,28.0,80.0,34.0,35.0,,,,,55.0,,,70.0,
Fall 2022,752,1390,389,176,,69.0,116.0,150.0,83.0,,,,,139.0,,,106.0,
Spring 2023,679,1371,353,168,,62.0,118.0,128.0,59.0,,,,,136.0,,,107.0,
Summer 2023,680,379,124,57,,23.0,45.0,37.0,,22.0,,,,46.0,,,46.0,
Fall 2023,835,1437,360,191,,,125.0,166.0,93.0,80.0,,,,170.0,,,141.0,
Spring 2024,781,1408,297,194,,,122.0,147.0,95.0,81.0,,,,172.0,,,141.0,
Summer 2024,803,391,98,78,,,88.0,51.0,,,,,,84.0,40.0,,95.0,32.0
Fall 2024,959,1465,311,221,,,125.0,162.0,129.0,98.0,,,,198.0,,,166.0,
